 Query1,16580
 Query2,14044
 Query3,20234
 Query4,13729
 Query5,14446
 Query6,3427
 Query7,22817
 Query8,14867
 Query9,32262
 Query10,36317
 Query11,5608
 Query12,11293
 Query13,9441
 Query14,4847
 Query15,7399
 Query16,25200
 Query17,10332
 Query18,14689
 Query19,7628
 Query20,10240
 Query21,32686
 Query22,7378
 Query1,15576
 Query2,14241
 Query3,29494
 Query4,15908
 Query5,15947
 Query6,3458
 Query7,24605
 Query8,11407
 Query9,32611
 Query10,37305
 Query11,5109
 Query12,11663
 Query13,9395
 Query14,3502
 Query15,5825
 Query16,24240
 Query17,8690
 Query18,14187
 Query19,7544
 Query20,10300
 Query21,33351
 Query22,8769
 Query1,16429
 Query2,15646
 Query3,26355
 Query4,17141
 Query5,20947
 Query6,4850
 Query7,30345
 Query8,14352
 Query9,42312
 Query10,22414
 Query11,5515
 Query12,11530
 Query13,9793
 Query14,3393
 Query15,6902
 Query16,27673
 Query17,11448
 Query18,15603
 Query19,8058
 Query20,11638
 Query21,33381
 Query22,7730
 Query1,15560
 Query2,15830
 Query3,32000
 Query4,15461
 Query5,16292
 Query6,4479
 Query7,24962
 Query8,12593
 Query9,33101
 Query10,38697
 Query11,5205
 Query12,10254
 Query13,10318
 Query14,3265
 Query15,5822
 Query16,23408
 Query17,10579
 Query18,16125
 Query19,7506
 Query20,10941
 Query21,32219
 Query22,7846
 Query1,15427
 Query2,15566
 Query3,30352
 Query4,14733
 Query5,16717
 Query6,3408
 Query7,24209
 Query8,11720
 Query9,33366
 Query10,37956
 Query11,5092
 Query12,10059
 Query13,8047
 Query14,3285
 Query15,6068
 Query16,23804
 Query17,10269
 Query18,14014
 Query19,7227
 Query20,10516
 Query21,29316
 Query22,7334
