 Query1,15021
 Query2,10266
 Query3,17345
 Query4,13379
 Query5,13469
 Query6,2461
 Query7,22654
 Query8,9354
 Query9,15348
 Query10,11662
 Query11,3632
 Query12,6359
 Query13,7051
 Query14,3160
 Query15,6409
 Query16,10222
 Query17,10655
 Query18,8731
 Query19,6000
 Query20,8109
 Query21,18609
 Query22,3751
 Query1,15777
 Query2,10246
 Query3,15513
 Query4,12681
 Query5,13142
 Query6,2201
 Query7,19341
 Query8,8792
 Query9,13701
 Query10,13409
 Query11,4188
 Query12,6485
 Query13,9144
 Query14,4024
 Query15,6492
 Query16,8845
 Query17,6841
 Query18,9969
 Query19,6242
 Query20,8450
 Query21,25153
 Query22,5262
 Query1,14976
 Query2,9989
 Query3,14939
 Query4,8867
 Query5,10382
 Query6,2275
 Query7,24402
 Query8,10793
 Query9,15969
 Query10,18244
 Query11,3870
 Query12,5081
 Query13,7397
 Query14,3060
 Query15,6644
 Query16,10519
 Query17,6583
 Query18,7818
 Query19,6744
 Query20,8598
 Query21,21247
 Query22,7680
 Query1,15048
 Query2,10001
 Query3,17315
 Query4,10656
 Query5,12618
 Query6,2380
 Query7,24353
 Query8,10384
 Query9,15854
 Query10,20921
 Query11,3733
 Query12,5693
 Query13,5468
 Query14,3435
 Query15,6871
 Query16,9905
 Query17,6918
 Query18,7969
 Query19,6242
 Query20,7797
 Query21,21956
 Query22,3775
 Query1,15650
 Query2,9718
 Query3,15510
 Query4,11207
 Query5,12004
 Query6,2097
 Query7,29944
 Query8,11578
 Query9,18406
 Query10,21861
 Query11,3780
 Query12,5132
 Query13,7731
 Query14,3123
 Query15,6524
 Query16,10474
 Query17,6030
 Query18,10504
 Query19,6420
 Query20,7308
 Query21,22466
 Query22,5081
